EngWord,NldWord,Freq,NldWordLength,FreqScore,LenScore,TotalScore
lymantriid,lymantriid,0,10,5,3,8
sphecoid wasp,sphecoïde wesp,0,14,4,4,8
spongefly,sponsvlieg,0,10,5,3,8
anglewing,hoekvleugel,0,11,5,3,8
Oriental beetle,Oosterse kever,0,14,4,4,8
diapheromera,diaferomeer,0,11,5,3,8
greenbottle,groene fles,0,11,5,3,8
browntail,bruinstaart,0,11,5,3,8
thysanopter,thysanopter,0,11,5,3,8
heliothis moth,heliothis mot,24245,13,4,4,8
froghopper,kikkerdril,0,10,5,3,8
chalcis fly,chalcis vliegen,0,15,4,4,8
odonate,verkondigen,0,11,5,3,8
tachina fly,Tachina vlieg,0,13,4,4,8
silverspot,zilvervlek,0,10,5,3,8
booklouse,boekenluis,0,10,5,3,8
neuropteron,neuropteron,0,11,5,3,8
blackfly,zwarte vlieg,0,12,5,3,8
pyralid,piramidevormig,0,14,4,4,8
Amazon ant,Amazone mier,0,12,5,3,8
scarabaeid beetle,scarabee kever,0,14,4,4,8
hemipterous insect,hemipterus insect,0,17,4,4,8
Colorado potato beetle,Coloradokever,0,13,5,3,8
woolly alder aphid,wollige elzenluis,295138,17,3,5,8
balsam woolly aphid,balsem wollige bladluis,295138,23,3,5,8
polyphemus moth,polyphemus nachtvlinder,56180,23,3,5,8
woolly apple aphid,wollige appelluis,295138,17,3,5,8
cicada killer,cicade moordenaar,215440,17,3,5,8
citrus whitefly,citrus witte vlieg,84253,18,3,5,8
giant silkworm moth,gigantische zijderupsmot,186909,24,3,5,8
pine leaf aphid,dennenblad bladluis,295138,19,3,5,8
spruce gall aphid,vuren gal bladluis,295138,18,3,5,8
pale chrysanthemum aphid,bleke chrysant bladluis,295138,23,3,5,8
red underwing,rode ondervleugel,40079,17,3,5,8
jumping plant louse,springende plantenluis,178544,22,3,5,8
cochineal insect,cochenille insect,31613,17,3,5,8
domestic silkworm moth,binnenlandse zijderupsenmot,186909,27,3,5,8
green peach aphid,groene perzikluis,295138,17,3,5,8
armored scale,gepantserde schaal,1633124,18,2,5,7
darkling beetle,duistere kever,67492,14,3,4,7
southern cabbage butterfly,zuidelijke koolvlinder,2235882,22,2,5,7
meadow spittlebug,weidekevers,0,11,4,3,7
potter wasp,pottenbakkers wesp,1476640,18,2,5,7
snakefly,slangenvlieg,0,12,4,3,7
lacewing,gaasvliegen,27459,11,4,3,7
birch leaf miner,berken mineervlieg,2264812,18,2,5,7
webworm moth,webworm mot,23453,11,4,3,7
dorbeetle,dorbeetle,0,9,5,2,7
oriental cockroach,oosterse kakkerlak,324569,18,2,5,7
mud dauber,modder dauber,101683,13,3,4,7
greenhouse whitefly,kas witte vlieg,84253,15,3,4,7
collembolan,collembolan,0,11,4,3,7
migratory grasshopper,migrerende sprinkhaan,595548,21,2,5,7
gracilariid,gracilariid,0,11,4,3,7
giant cockroach,gigantische kakkerlak,324569,21,2,5,7
caddis fly,caddis vliegen,144907,14,3,4,7
webbing clothes moth,webbing kleding mot,800065,19,2,5,7
giant hornet,gigantische hoornaar,938739,20,2,5,7
tsetse fly,tseetseevlieg,110489,13,3,4,7
mecopteran,mecopteraan,0,11,4,3,7
citrus mealybug,citruswolluis,39080,13,3,4,7
sanguinary ant,bloedige mier,31979,13,3,4,7
migratory locust,migrerende sprinkhaan,1302839,21,2,5,7
lasiocampid,lasiocampide,0,12,4,3,7
tarnished plant bug,aangetaste plantenwants,318457,23,2,5,7
Mutillidae,Mutillidae,0,10,5,2,7
cotton stainer,katoenbevlekker,75931,15,3,4,7
defoliator,ontbladeraar,0,12,4,3,7
holometabola,holometabola,0,12,4,3,7
ladybug,lieveheersbeestje,617279,17,2,5,7
deathwatch beetle,deathwatch kever,93564,16,3,4,7
horse botfly,paard horzel,0,12,4,3,7
fritillary,parelmoervlinder,90524,16,3,4,7
woolly aphid,wollige bladluis,295138,16,3,4,7
tumblebug,tuimelaar,0,9,5,2,7
whirligig beetle,draaimolen kever,54373,16,3,4,7
hawkmoth,haviksmot,0,9,5,2,7
noctuid moth,nachtvlinder,0,12,4,3,7
imperial moth,keizerlijke nachtvlinder,1575719,24,2,5,7
snowy tree cricket,besneeuwde boom cricket,1631719,23,2,5,7
anopheline,anofeline,0,9,5,2,7
nymphalid,nymphalid,0,9,5,2,7
tortricid,tortricide,0,10,5,2,7
blackfly,zwarte vlieg,0,12,4,3,7
pernyi moth,pernyi mot,0,10,5,2,7
spittle insect,speeksel insect,94265,15,3,4,7
mirid bug,mirid bug,0,9,5,2,7
ephemeron,efemeroon,0,9,5,2,7
viceroy,onderkoning,301862,11,3,3,6
psocid,psocid,0,6,5,1,6
long-horned beetle,boktor,0,6,5,1,6
damselfly,waterjuffer,52356,11,3,3,6
water boatman,waterbootman,190748,12,3,3,6
painted beauty,geschilderde schoonheid,10666710,23,1,5,6
phasmid,fasmide,0,7,5,1,6
arctiid,arctiid,0,7,5,1,6
silverfish,zilvervisje,134923,11,3,3,6
boll weevil,bolsnuitkever,379116,13,2,4,6
sheep ked,schapen ked,131450,11,3,3,6
tineid,tineid,0,6,5,1,6
giant water bug,gigantische waterwants,17098874,22,1,5,6
gadfly,paardevlieg,237774,11,3,3,6
tobacco thrips,tabak trips,176331,11,3,3,6
mayfly,eendagsvlieg,86413,12,3,3,6
grape louse,druivenluis,178544,11,3,3,6
body louse,lichaamsluis,178544,12,3,3,6
plant louse,plantenluis,178544,11,3,3,6
underwing,ondervleugel,40079,12,3,3,6
purple emperor,grote weerschijnvlinder,5660656,23,1,5,6
punkie,punkie,0,6,5,1,6
common louse,gewone luis,178544,11,3,3,6
botfly,horzel,0,6,5,1,6
tussah,tussah,0,6,5,1,6
horsefly,paardevlieg,63131,11,3,3,6
sticktight,plakkerig,0,9,4,2,6
warble fly,horzelvlieg,68260,11,3,3,6
bark-louse,bastluis,0,8,5,1,6
June beetle,juni kever,0,10,4,2,6
little black ant,kleine zwarte mier,6182704,18,1,5,6
greenfly,bladluis,0,8,4,2,6
water strider,schaatsenrijder,410767,15,2,4,6
backswimmer,rugzwemmer,0,10,4,2,6
ephemerid,efemeride,0,9,4,2,6
coreid bug,coreid-bug,22146,10,4,2,6
bean weevil,bonensnuitkever,379116,15,2,4,6
pea weevil,erwt snuitkever,379116,15,2,4,6
ichneumon fly,sluipwesp,19752,9,4,2,6
rice weevil,rijstsnuitkever,379116,15,2,4,6
rove beetle,kortschildkever,2058665,15,2,4,6
rhinoceros beetle,neushoorn kever,351147,15,2,4,6
water scorpion,water schorpioen,1429532,16,2,4,6
scorpion fly,schorpioen vlieg,1429532,16,2,4,6
mormon cricket,mormoonse krekel,1911630,16,2,4,6
banded purple,gestreepte paars,959981,16,2,4,6
chalcid fly,kelkvlieg,0,9,4,2,6
bombardier beetle,bombardier kever,586022,16,2,4,6
spruce bark beetle,vuren schorskever,2534428,17,1,5,6
geometrid,meetkunde,0,9,4,2,6
saturniid,saturniid,0,9,4,2,6
gelechiid,gelechiid,0,9,4,2,6
Plectophera,Plectofera,0,10,4,2,6
calosoma,calosoma,0,8,5,1,6
buffalo carpet beetle,buffel tapijt kever,3207549,19,1,5,6
mason wasp,metselaar wesp,1476640,14,2,4,6
sulphur butterfly,zwavel vlinder,1852248,14,2,4,6
psychodid,psychodid,0,9,4,2,6
whitefly,witte vlieg,84253,11,3,3,6
moth miller,mottenmolenaar,1575719,14,2,4,6
mason wasp,metselaar wesp,1476640,14,2,4,6
brown soft scale,bruine zachte schaal,39440877,20,1,5,6
bombycid,bombycid,0,8,5,1,6
praying mantis,bidsprinkhaan,893825,13,2,4,6
assassin bug,huurmoordenaar,1449166,14,2,4,6
mantis,bidsprinkhaan,893825,13,2,4,6
black carpet beetle,zwarte tapijtkever,3207549,18,1,5,6
vedalia,vedalia,0,7,5,1,6
tineoid,tineoïde,0,8,5,1,6
conenose,conenose,0,8,5,1,6
red admiral,rode admiraal,2894800,13,1,4,5
velvet ant,fluwelen mier,5591498,13,1,4,5
potter bee,pottenbakkersbij,8659734,16,1,4,5
carpenter bee,timmermansbij,4870735,13,1,4,5
soft scale,zachte schaal,39440877,13,1,4,5
fish fly,vissen vliegen,28279478,14,1,4,5
wax insect,wassen insect,4554595,13,1,4,5
walking leaf,wandelend blad,13159307,14,1,4,5
lantern fly,lantaarn vlieg,2615989,14,1,4,5
squash bug,squashbeestje,3985349,13,1,4,5
white admiral,witte admiraal,2894800,14,1,4,5
social insect,sociaal insect,4554595,14,1,4,5
carpenter ant,timmerman mier,4870735,14,1,4,5
emperor butterfly,keizer vlinder,5660656,14,1,4,5
queen bee,bijenkoningin,8659734,13,1,4,5
hanging fly,hangende vlieg,10190519,14,1,4,5
robber fly,rover vlieg,695207,11,2,3,5
glowworm,gloeiworm,28790,9,3,2,5
malarial mosquito,malariamug,125563,10,3,2,5
snout beetle,snuitkever,258314,10,3,2,5
apple maggot,appel made,295075,10,3,2,5
louse fly,luis vlieg,178544,10,3,2,5
stonefly,steenvlieg,139622,10,3,2,5
gallfly,galvlieg,0,8,4,1,5
chinch bug,chinch bug,31749,10,3,2,5
blowfly,blaasvlieg,41196,10,3,2,5
leafhopper,sprinkhaan,48493,10,3,2,5
pine sawyer,dennenzaag,2321394,10,2,3,5
proturan,proturan,0,8,4,1,5
hairstreak,haarstreep,64992,10,3,2,5
rose chafer,rozenkever,78495,10,3,2,5
honeybee,honingbij,223168,9,3,2,5
lygaeid,lygaeid,0,7,4,1,5
adelgid,adelgid,27659,7,4,1,5
grasshopper,sprinkhaan,595548,10,2,3,5
firebrat,vuurbrat,0,8,4,1,5
lycaenid,lycaenid,0,8,4,1,5
chicken louse,kippenluis,178544,10,3,2,5
onion thrips,uien trips,176331,10,3,2,5
firebug,vuurwants,53301,9,3,2,5
bluebottle,bromvlieg,41879,9,3,2,5
lygus bug,lygus bug,31219,9,3,2,5
housefly,huisvlieg,30322,9,3,2,5
apple aphid,appelluis,295138,9,3,2,5
head louse,hoofdluis,178544,9,3,2,5
crab louse,krab luis,178544,9,3,2,5
bird louse,vogelluis,178544,9,3,2,5
armyworm,legerworm,56595,9,3,2,5
tortoiseshell,schildpad,79970,9,3,2,5
pollinator,bestuiver,82814,9,3,2,5
superbug,superbug,51883,8,3,2,5
alderfly,elsvlieg,0,8,4,1,5
cecropia,cecropia,25237,8,4,1,5
cockchafer,meikever,0,8,4,1,5
drosophila,drosophila,2295980,10,2,3,5
rose chafer,rozenkever,78495,10,3,2,5
plant hopper,plantenbak,2367920,10,2,3,5
cabbage butterfly,koolvlinder,2235882,11,2,3,5
jassid,jassid,0,6,4,1,5
web spinner,web spinner,1380109,11,2,3,5
andrena,andrena,19238,7,4,1,5
gypsy moth,zigeunermot,1575719,11,2,3,5
oak blight,eikenziekte,906914,11,2,3,5
leaf miner,mineervlieg,2264812,11,2,3,5
paper wasp,papier wesp,1476640,11,2,3,5
common wasp,gewone wesp,1476640,11,2,3,5
pierid,pieri,0,5,4,1,5
corn borer,maïsboorder,345460,11,2,3,5
lappet,slip,0,4,4,1,5
potato moth,aardappelmot,1575719,12,2,3,5
fungus gnat,schimmel mug,465124,12,2,3,5
fungus gnat,schimmel mug,465124,12,2,3,5
bulldog ant,bulldog mier,2167341,12,2,3,5
danaid,danaid,0,6,4,1,5
armyworm,legerworm,56595,9,3,2,5
blister beetle,blaarkever,1027084,10,2,3,5
vespid,vespied,0,7,4,1,5
mole cricket,mol cricket,2256537,11,2,3,5
goldeneye,gouden Oog,443731,10,2,3,5
locust,sprinkhaan,1302839,10,2,3,5
raisin moth,rozijnenmot,724623,11,2,3,5
chigoe,chigoe,0,6,4,1,5
weevil,snuitkever,379116,10,2,3,5
cynthia moth,cynthia mot,1575719,11,2,3,5
almond moth,amandelmot,1575719,10,2,3,5
gall midge,galmug,308737,6,3,1,4
louse,luis,178544,4,3,1,4
antler moth,gewei mot,706024,9,2,2,4
thrips,trips,176331,5,3,1,4
pupa,pop,253862,3,3,1,4
katydid,katydid,42351,7,3,1,4
imago,imago,307167,5,3,1,4
earwig,oorworm,45402,7,3,1,4
midge,mug,308737,3,3,1,4
cockroach,kakkerlak,324569,9,2,2,4
luna moth,luna mot,1575719,8,2,2,4
dung beetle,mestkever,973533,9,2,2,4
digger wasp,graafwesp,1169511,9,2,2,4
aphid,bladluis,295138,8,3,1,4
gall wasp,gal wesp,1441714,8,2,2,4
bee moth,bijenmot,1575719,8,2,2,4
mealybug,wolluis,39080,7,3,1,4
cinnabar,cinnaber,154180,8,3,1,4
sawfly,Bladwesp,42904,8,3,1,4
bumblebee,hommel,286466,6,3,1,4
codling moth,fruitmot,71190,8,3,1,4
ringlet,ringetje,35011,8,3,1,4
cicada,cicade,215440,6,3,1,4
bedbug,bedwants,32693,8,3,1,4
eggar,eggar,29112,5,3,1,4
scale insect,schaalinsect,4554595,12,1,3,4
tiger beetle,tijger kever,3207549,12,1,3,4
large white,grote witte,165863763,11,1,3,4
pharaoh ant,farao mier,1207358,10,2,2,4
mourning cloak,rouwmantel,1450056,10,2,2,4
stag beetle,hert kever,2429332,10,1,3,4
vinegar fly,azijnvlieg,2467712,10,1,3,4
fruit fly,fruit vlieg,22767191,11,1,3,4
crane fly,Langpootmug,4888961,11,1,3,4
ant lion,mierenleeuw,6182704,11,1,3,4
clothes moth,kledingmot,1575719,10,2,2,4
field cricket,veldcricket,11442124,11,1,3,4
tobacco moth,tabaksmot,1575719,9,2,2,4
sand cricket,zand krekel,11442124,11,1,3,4
cotton strain,katoensoort,9151339,11,1,3,4
horn fly,hoorn vlieg,8041908,11,1,3,4
bark beetle,schorskever,3207549,11,1,3,4
tiger moth,tijgermot,1575719,9,2,2,4
carpet moth,tapijtmot,1575719,9,2,2,4
water bug,water insect,39672754,12,1,3,4
horse tick,paardenteek,4449569,11,1,3,4
flea beetle,vlooienkever,2796116,12,1,3,4
carpet beetle,tapijt kever,3207549,12,1,3,4
dragonfly,libel,2371854,5,2,1,3
io moth,io mot,1575719,6,2,1,3
bee fly,bijenvlieg,8659734,10,1,2,3
small white,klein wit,208371878,9,1,2,3
chrysalis,pop,400464,3,2,1,3
gnat,mug,465124,3,2,1,3
termite,termiet,774144,7,2,1,3
searcher,zoeker,757746,6,2,1,3
dobson,dobson,1437255,6,2,1,3
hornet,horzel,938739,6,2,1,3
sawyer,zager,2321394,5,2,1,3
gnat,mug,465124,3,2,1,3
wasp,wesp,1476640,4,2,1,3
peacock,Pauw,1981500,4,2,1,3
flesh fly,vleesvlieg,6768724,10,1,2,3
drone,drone,725818,5,2,1,3
army ant,leger mier,6182704,10,1,2,3
common mosquito,gewone mug,2664788,10,1,2,3
leaf roller,bladroller,7835563,10,1,2,3
oil beetle,oliekever,3207549,9,1,2,3
grain moth,graanmot,1575719,8,2,1,3
dog flea,hondenvlo,2796116,9,1,2,3
true bug,echte bug,39672754,9,1,2,3
atlas moth,atlasmot,1575719,8,2,1,3
sand fly,zandvlieg,16327687,9,1,2,3
leaf beetle,bladkever,3207549,9,1,2,3
lace bug,kant bug,7436281,8,1,2,3
fire ant,vuur mier,6182704,9,1,2,3
water beetle,waterkever,3207549,10,1,2,3
ground beetle,loopkever,3207549,9,1,2,3
cat flea,kattenvlo,2796116,9,1,2,3
mason bee,metselbij,8659734,9,1,2,3
bee beetle,bij kever,3207549,9,1,2,3
flour beetle,meelkever,3207549,9,1,2,3
seed beetle,zaadkever,3207549,9,1,2,3
wood ant,hout mier,6182704,9,1,2,3
click beetle,klik kever,3207549,10,1,2,3
moth,mot,1575719,3,2,1,3
slave ant,slaaf mier,6182704,10,1,2,3
scarab,scarabee,882933,8,2,1,3
black bee,zwarte bij,8659734,10,1,2,3
tree cricket,boomkrekel,11442124,10,1,2,3
walking stick,wandelstok,22399126,10,1,2,3
firefly,glimworm,1820064,8,2,1,3
firefly,glimworm,1820064,8,2,1,3
admiral,admiraal,2894800,8,1,1,2
ant,mier,6182704,4,1,1,2
queen,koningin,32366847,8,1,1,2
bee,bij,8659734,3,1,1,2
mosquito,mug,2664788,3,1,1,2
soldier,soldaat,10032017,7,1,1,2
butterfly,vlinder,8141617,7,1,1,2
ant cow,bladluis,6182704,8,1,1,2
leaf bug,bladluis,13159307,8,1,1,2
worker bee,werkbij,8659734,7,1,1,2
emperor,keizer,5660656,6,1,1,2
worker,arbeider,16072941,8,1,1,2
flea,vlo,2796116,3,1,1,2
monarch,monarch,2537590,7,1,1,2
bug,beestje,39672754,7,1,1,2
cricket,krekel,11442124,6,1,1,2
blue,blauw,126160941,5,1,1,2
comma,komma,2711522,5,1,1,2
beetle,kever,3207549,5,1,1,2
yellow jacket,gele jas,17246004,8,1,1,2
copper,koper,14543941,5,1,1,2
wheel bug,wiel bug,25342937,8,1,1,2
fly,vlieg,28279478,5,1,1,2
