EngWord,NldWord,Freq,NldWordLength,FreqScore,LenScore,TotalScore
false gavial,valse gaviaal,0,13,4,3,7
ichthyosaurus,ichthyosaurus,0,13,4,3,7
ground-shaker,grondschudder,0,13,4,3,7
edmontosaurus,edmontosaurus,0,13,4,3,7
blacksnake,zwarte slang,0,12,4,3,7
Gila monster,Gila monster,0,12,4,3,7
ichthyosaur,ichthyosaurus,0,13,4,3,7
alligator snapping turtle,alligator brekende schildpad,662153,28,2,5,7
teiid lizard,teiid hagedis,0,13,4,3,7
therapsid,therapeutisch,0,13,4,3,7
common garter snake,gewone kousebandslang,1004872,21,2,5,7
armored dinosaur,gepantserde dinosaurus,1633124,22,2,5,7
western fence lizard,westelijke hek hagedis,2238343,22,2,5,7
snapping turtle,bijtende schildpad,662153,18,2,5,7
prairie rattlesnake,prairie ratelslang,415865,18,2,5,7
horned chameleon,gehoornde kameleon,849509,18,2,5,7
speckled rattlesnake,gespikkelde ratelslang,415865,22,2,5,7
reticulated python,netvormige python,106794,17,3,4,7
ceratosaur,ceratosaurus,0,12,5,2,7
banded krait,gestreepte krait,14590,16,3,4,7
smooth softshell,gladde softshell,115640,16,3,4,7
legless lizard,pootloze hagedis,72239,16,3,4,7
boa constrictor,boa constrictor,112280,15,3,4,7
caiman lizard,kaaiman hagedis,166982,15,3,4,7
terrapin,moerasschildpad,236623,15,3,4,7
hawksbill turtle,karetschildpad,79976,14,3,4,7
banded sand snake,gestreepte zandslang,959981,20,2,5,7
frilled lizard,franje hagedis,51679,14,3,4,7
western skink,westerse skink,101630,14,3,4,7
leatherback turtle,lederschildpad,99054,14,3,4,7
Pacific ridley,Pacific Ridley,0,14,4,3,7
deinocheirus,deinocheirus,0,12,5,2,7
ornithomimid,ornithomimid,0,12,4,3,7
dimetrodon,dimetrodon,0,10,5,2,7
massasauga,massasauga,0,10,5,2,7
anatotitan,anatotaan,0,9,5,2,7
nothosaur,nothosaurus,0,11,5,2,7
saurischian,saurischian,0,11,5,2,7
archosaur,archosaurus,0,11,5,2,7
dicynodont,dicynodont,0,10,5,2,7
Edmontonia,Edmontonia,0,10,5,2,7
apatosaur,apatosaurus,0,11,5,2,7
allosaur,allosaurus,0,10,4,2,6
rock rattlesnake,rots ratelslang,415865,15,2,4,6
flying gecko,vliegende gekko,1230211,15,2,4,6
horned viper,gehoornde adder,849509,15,2,4,6
venomous lizard,giftige hagedis,317422,15,2,4,6
eastern fence lizard,oostelijke hek hagedis,2238343,22,1,5,6
collared lizard,halsbandhagedis,404023,15,2,4,6
musk turtle,muskusschildpad,1006200,15,2,4,6
garter snake,kousenbandslang,1004872,15,2,4,6
maniraptor,maniraptor,0,10,4,2,6
painted turtle,geschilderde schildpad,5297998,22,1,5,6
water moccasin,water mocassin,287978,14,2,4,6
chuckwalla,Chuckwalla,0,10,4,2,6
utahraptor,utahraptor,0,10,4,2,6
leopard lizard,luipaard hagedis,2153753,16,2,4,6
eastern coral snake,oostelijke koraalslang,7606395,22,1,5,6
water moccasin,water mocassin,287978,14,2,4,6
common iguana,gewone leguaan,641679,14,2,4,6
giant tortoise,reuzenschildpad,1133746,15,2,4,6
gopher tortoise,gopherschildpad,1133746,15,2,4,6
agamid,agamid,0,6,5,1,6
alligator lizard,alligator hagedis,1417637,17,2,4,6
smooth green snake,gladde groene slang,7606395,19,1,5,6
eoraptor,eoraptor,0,8,5,1,6
gavial,gaviaal,0,7,5,1,6
Diapsida,Diapsida,0,8,5,1,6
cynodont,cynodont,0,8,5,1,6
black rat snake,zwarte rattenslang,7606395,18,1,5,6
western blind snake,westerse blinde slang,7606395,21,1,5,6
eastern ground snake,oostelijke grondslang,7606395,21,1,5,6
monitor,toezicht houden op,43848202,18,1,5,6
eastern indigo snake,oosterse indigo slang,3412827,21,1,5,6
timber rattlesnake,houten ratelslang,415865,17,2,4,6
banded gecko,gestreepte gekko,959981,16,2,4,6
tiger rattlesnake,tijger ratelslang,415865,17,2,4,6
spiny lizard,stekelige hagedis,366114,17,2,4,6
desert tortoise,woestijnschildpad,1133746,17,2,4,6
horned lizard,gehoornde hagedis,849509,17,2,4,6
thecodont,thecodont,0,9,5,1,6
hamadryad,hamadryad,0,9,5,1,6
racerunner,renner,0,6,5,1,6
western coral snake,westelijke koraalslang,7606395,22,1,5,6
desert iguana,woestijn leguaan,641679,16,2,4,6
coachwhip,coachwhip,0,9,4,2,6
whip-snake,zweepslang,0,10,4,2,6
slider,schuifregelaar,1702058,14,2,4,6
anapsid,anapsid,0,7,5,1,6
hognose snake,hognose slang,13157,13,3,3,6
edaphosaurus,edafosaurus,0,11,4,2,6
coelophysis,coelophysis,0,11,4,2,6
compsognathus,compognathus,0,12,3,3,6
velociraptor,velociraptor,65417,12,3,3,6
ceratopsian,ceratopsian,0,11,4,2,6
green mamba,groene mamba,173027,12,3,3,6
black mamba,zwarte mamba,173027,12,3,3,6
elapid,verstrijken,0,11,4,2,6
protoceratops,protoceratops,0,13,3,3,6
tyrannosaur,tyrannosaurus,23660,13,3,3,6
carnosaur,carnosaurus,0,11,4,2,6
hadrosaur,hadrosauriër,16358,12,3,3,6
barosaur,barosaurus,0,10,4,2,6
herrerasaur,herrerasaur,0,11,4,2,6
styracosaur,styracosaurus,0,13,3,3,6
sagebrush lizard,alsem hagedis,425681,13,2,3,5
vine snake,wijnstok slang,3646014,14,1,4,5
sauropod,sauropoden,40747,10,3,2,5
spectacled caiman,brilkaaiman,65317,11,3,2,5
glossy snake,glanzende slang,3045309,15,1,4,5
mud turtle,modderschildpad,5297998,15,1,4,5
night lizard,nacht hagedis,2238343,13,2,3,5
green turtle,groene schildpad,5297998,16,1,4,5
pterosaur,pterosaurus,32618,11,3,2,5
ringhals,ringhals,0,8,4,1,5
worm lizard,worm hagedis,2238343,12,2,3,5
glass lizard,glas hagedis,2238343,12,2,3,5
common water snake,gewone waterslang,7606395,17,1,4,5
iguanid,leguaan,0,7,4,1,5
rough green snake,ruwe groene slang,7606395,17,1,4,5
rubber boa,rubberen boa,1692885,12,2,3,5
trachodon,trachodon,0,9,4,1,5
blindworm,hazelworm,0,9,4,1,5
pterodactyl,pterodactyl,53878,11,3,2,5
chelonian,chelonisch,26428,10,3,2,5
common snapping turtle,Bijtschildpad,662153,13,2,3,5
synapsid,synapsid,0,8,4,1,5
triceratops,triceratops,89390,11,3,2,5
diapsid,diapsid,0,7,4,1,5
lined snake,gevoerde slang,5802278,14,1,4,5
constrictor,constrictor,112280,11,3,2,5
deinonychus,deinonychus,67453,11,3,2,5
ground rattler,grondratel,128002,10,3,2,5
mountain skink,berg skink,101630,10,3,2,5
beaded lizard,kralen hagedis,2238343,14,1,4,5
whiptail,zweepstaart,89196,11,3,2,5
green lizard,groene hagedis,2238343,14,1,4,5
diplodocus,diplodocus,22803,10,3,2,5
copperhead,koperkop,157462,8,3,1,4
theropod,theropode,51210,9,3,1,4
green snake,groene slang,7606395,12,1,3,4
green snake,groene slang,7606395,12,1,3,4
ringneck snake,halsslang,46665,9,3,1,4
skink,skink,101630,5,3,1,4
king snake,koningsslang,7606395,12,1,3,4
copperhead,koperkop,157462,8,3,1,4
krait,krait,14590,5,3,1,4
caiman,kaaiman,166982,7,3,1,4
basilisk,basilisk,136867,8,3,1,4
saurian,sauriër,26094,7,3,1,4
sand lizard,zandhagedis,2238343,11,2,2,4
loggerhead,onechte,170299,7,3,1,4
coral snake,koraal slang,7606395,12,1,3,4
coral snake,koraal slang,7606395,12,1,3,4
box turtle,doosschildpad,5297998,13,1,3,4
puff adder,bladerdeeg,888956,10,2,2,4
blue racer,blauwe racer,3625077,12,1,3,4
taipan,taipan,50549,6,3,1,4
moloch,Moloch,77763,6,3,1,4
mamba,mamba,173027,5,3,1,4
agama,agama,68959,5,3,1,4
marine iguana,zeeleguanen,641679,11,2,2,4
tuatara,tuatara,43224,7,3,1,4
rattlesnake,ratelslang,415865,10,2,2,4
death adder,doodsadder,888956,10,2,2,4
iguanodon,iguanodon,20087,9,3,1,4
indigo snake,indigo slang,3412827,12,1,3,4
sea turtle,zeeschildpad,5297998,12,1,3,4
teju,teju,19298,4,3,1,4
thunder snake,donder slang,6542703,12,1,3,4
diamondback,diamantrug,376907,10,2,2,4
lyre snake,lier slang,300168,10,2,2,4
blind snake,blinde slang,7606395,12,1,3,4
gopher snake,gopherslang,1171418,11,2,2,4
hoop snake,hoepel slang,2310001,12,1,3,4
cooter,cooter,144191,6,3,1,4
carpet snake,tapijt slang,7606395,12,1,3,4
viper,adder,2201559,5,2,1,3
adder,adder,888956,5,2,1,3
sidewinder,zijwind,472328,7,2,1,3
ridley,ridley,1047880,6,2,1,3
gecko,gekko,1230211,5,2,1,3
tree lizard,boomhagedis,2238343,11,1,2,3
lizard,hagedis,2238343,7,2,1,3
mountain devil,bergduivel,12869511,10,1,2,3
chicken snake,kippenslang,7606395,11,1,2,3
fence lizard,hek hagedis,2238343,11,1,2,3
rat snake,rattenslang,7606395,11,1,2,3
tiger snake,tijgerslang,7606395,11,1,2,3
bull snake,stier slang,7606395,11,1,2,3
pine snake,dennenslang,7606395,11,1,2,3
night snake,nachtslang,7606395,10,1,2,3
ground snake,grondslang,7606395,10,1,2,3
dinosaur,dinosaurus,3188803,10,1,2,3
water snake,Waterslang,7606395,10,1,2,3
rosy boa,roze boa,835700,8,2,1,3
corn snake,graanslang,7606395,10,1,2,3
boa,boa,1692885,3,2,1,3
ribbon snake,lint slang,7606395,10,1,2,3
chameleon,kameleon,1247136,8,2,1,3
crocodile,krokodil,1658300,8,2,1,3
pit viper,pitadder,2201559,8,2,1,3
tortoise,schildpad,1133746,9,2,1,3
anaconda,anaconda,690100,8,2,1,3
alligator,alligator,1417637,9,2,1,3
rock python,rotspython,17610578,10,1,2,3
cobra,cobra,4412823,5,1,1,2
snake,slang,7606395,5,1,1,2
racer,racer,3625077,5,1,1,2
grass snake,ringslang,7606395,9,1,1,2
sea snake,zeeslang,7606395,8,1,1,2
dragon,draak,17377430,5,1,1,2
asp,adder,16785885,5,1,1,2
asp,adder,16785885,5,1,1,2
milk snake,melkslang,7606395,9,1,1,2
sand snake,zandslang,7606395,9,1,1,2
turtle,schildpad,5297998,9,1,1,2
python,Python,17610578,6,1,1,2
